create EgoNets       a) assign IDs        b) find triangles    c) cluster EgoNet    d) compact EgoNet    e) EgoNet subsets    f) EgoNet subsetCnt  g) clean up          split Personas       connect Personas     Persona Clustering   create Cover         
0.036649             0.0                  0.008622             0.020677             0.001018             0.00154              0.000885             0.0                  3.8e-05              0.001664             0.001755             0.000337             
0.02523              0.0                  0.003711             0.015113             0.000713             0.000505             0.000782             0.0                  3.2e-05              0.000698             0.000949             0.000451             
0.021866             0.0                  0.002638             0.012746             0.000766             0.000441             0.000707             1e-06                5.3e-05              0.000726             0.001128             0.000922             
0.06885              0.0                  0.009345             0.050509             0.001743             0.001713             0.001008             0.0                  4.3e-05              0.001737             0.005948             0.000407             
0.043589             0.0                  0.003408             0.033262             0.001149             0.000588             0.000577             0.0                  5.8e-05              0.000856             0.003394             0.000495             
0.037793             0.0                  0.002371             0.028905             0.001157             0.000435             0.000477             0.0                  4.3e-05              0.000736             0.004403             0.000986             
0.060257             0.0                  0.009481             0.042245             0.00137              0.001666             0.00103              0.0                  3.6e-05              0.00166              0.004097             0.000384             
0.028654             0.0                  0.003489             0.018787             0.00092              0.000485             0.000631             0.0                  3.2e-05              0.000719             0.002776             0.000492             
0.026521             0.0                  0.002783             0.016861             0.001094             0.000527             0.000839             0.0                  6.1e-05              0.000796             0.004044             0.001033             
0.05953              0.0                  0.009338             0.041768             0.001352             0.001651             0.001005             0.0                  3.2e-05              0.001611             0.011778             0.000379             
0.029988             0.0                  0.003598             0.019711             0.000963             0.000516             0.000732             0.0                  5.5e-05              0.000811             0.008098             0.000561             
0.025063             0.0                  0.002596             0.01581              0.00104              0.000509             0.000788             0.0                  4.1e-05              0.000717             0.012407             0.000949             
6.044257             0.000172             0.612985             3.145648             0.033053             0.042581             0.016397             1.5e-05              0.018163             0.546059             0.487949             0.363701             
0.055479             3.6e-05              0.017286             0.02628              0.001135             0.003863             0.001006             0.0                  7.5e-05              0.004627             0.005397             0.000518             
0.042972             7e-06                0.010209             0.022536             0.000923             0.002638             0.001004             0.0                  4.4e-05              0.002138             0.002125             0.000375             
0.04365              3e-06                0.010313             0.022951             0.001052             0.002742             0.001008             0.0                  6.6e-05              0.002595             0.002075             0.000385             
0.042749             0.0                  0.010013             0.022267             0.001055             0.002804             0.001014             3e-06                8.1e-05              0.00287              0.001764             0.000371             
0.041747             2e-06                0.009607             0.021758             0.001045             0.002739             0.001013             0.0                  6.5e-05              0.00254              0.002004             0.000375             
0.045002             1e-06                0.010405             0.02396              0.001141             0.002881             0.001012             0.0                  5.6e-05              0.002335             0.002067             0.000361             
0.043348             0.0                  0.009951             0.022835             0.001132             0.002802             0.001007             0.0                  6.9e-05              0.002621             0.002061             0.000361             
0.042654             0.0                  0.009907             0.022586             0.001084             0.002654             0.001008             0.0                  6.2e-05              0.002494             0.002115             0.000354             
0.043254             0.0                  0.009883             0.022998             0.001123             0.002735             0.001013             0.0                  6.7e-05              0.002603             0.002087             0.000349             
0.043991             0.0                  0.010286             0.023183             0.001058             0.002879             0.001012             0.0                  4.5e-05              0.002335             0.00208              0.000368             
0.024558             1e-06                0.003512             0.013305             0.000276             0.001072             0.000353             0.0                  4.9e-05              0.001051             0.001216             0.000475             
0.023611             0.0                  0.003272             0.012961             0.000239             0.000913             0.000322             0.0                  3.9e-05              0.000908             0.001271             0.000445             
0.024633             0.0                  0.003511             0.013568             0.000377             0.000919             0.000415             0.0                  4e-05                0.000898             0.001175             0.000506             
0.026365             1e-06                0.003705             0.01461              0.000558             0.00108              0.000645             0.0                  4.2e-05              0.000963             0.001206             0.0005               
