algo                     graph      F1       F1_rev   NMI      time     
Ego_PLP                  LFR_om_1   0.9362   0.9362   0.8136   0.1099   
Ego_PLP                  LFR_om_1   0.9349   0.9349   0.8080   0.0978   
Ego_PLP                  LFR_om_1   0.9219   0.9334   0.8136   0.1119   
Ego_PLP                  LFR_om_1   0.9065   0.9381   0.8171   0.1033   
Ego_PLP                  LFR_om_1   0.9336   0.9336   0.8089   0.0934   
Ego_PLP                  LFR_om_2   0.8431   0.7661   0.6260   0.1558   
Ego_PLP                  LFR_om_2   0.8306   0.8457   0.7269   0.1986   
Ego_PLP                  LFR_om_2   0.8351   0.7545   0.6097   0.1670   
Ego_PLP                  LFR_om_2   0.8291   0.8023   0.6748   0.1947   
Ego_PLP                  LFR_om_2   0.8197   0.8397   0.7139   0.1608   
Ego_PLP                  LFR_om_3   0.1141   0.0731   0.0000   0.2233   
Ego_PLP                  LFR_om_3   0.0866   0.0737   0.0000   0.2527   
Ego_PLP                  LFR_om_3   0.0889   0.0749   0.0000   0.2153   
Ego_PLP                  LFR_om_3   0.0853   0.0714   0.0000   0.2156   
Ego_PLP                  LFR_om_3   0.0856   0.0750   0.0000   0.2369   
Ego_PLP                  LFR_om_4   0.0971   0.0754   0.0000   0.2982   
Ego_PLP                  LFR_om_4   0.0883   0.0740   0.0000   0.3025   
Ego_PLP                  LFR_om_4   0.1043   0.0747   0.0000   0.3078   
Ego_PLP                  LFR_om_4   0.1043   0.0740   0.0000   0.3195   
Ego_PLP                  LFR_om_4   0.0980   0.0747   0.0000   0.2936   
Ego_PLP                  LFR_om_5   0.0952   0.0757   0.0000   0.3742   
Ego_PLP                  LFR_om_5   0.0934   0.0735   0.0000   0.3969   
Ego_PLP                  LFR_om_5   0.0952   0.0740   0.0000   0.4046   
Ego_PLP                  LFR_om_5   0.1123   0.0751   0.0000   0.3709   
Ego_PLP                  LFR_om_5   0.1096   0.0757   0.0000   0.3855   
Ego_PLP                  LFR_mu_00  0.9609   0.9444   0.8760   0.0568   
Ego_PLP                  LFR_mu_00  0.9316   0.9173   0.8454   0.0503   
Ego_PLP                  LFR_mu_00  0.9257   0.9165   0.8462   0.0538   
Ego_PLP                  LFR_mu_00  0.9250   0.9413   0.8741   0.0531   
Ego_PLP                  LFR_mu_00  0.9020   0.9343   0.8588   0.0536   
Ego_PLP                  LFR_mu_05  0.7746   0.8471   0.7166   0.0551   
Ego_PLP                  LFR_mu_05  0.9034   0.9150   0.8355   0.0487   
Ego_PLP                  LFR_mu_05  0.8878   0.9173   0.8193   0.0544   
Ego_PLP                  LFR_mu_05  0.8883   0.9142   0.8301   0.0594   
Ego_PLP                  LFR_mu_05  0.8998   0.8955   0.7859   0.0507   
Ego_PLP                  LFR_mu_10  0.8464   0.8728   0.7532   0.0521   
Ego_PLP                  LFR_mu_10  0.8441   0.9006   0.7708   0.0529   
Ego_PLP                  LFR_mu_10  0.8047   0.8341   0.6885   0.0528   
Ego_PLP                  LFR_mu_10  0.7988   0.8451   0.6956   0.0569   
Ego_PLP                  LFR_mu_10  0.8967   0.8610   0.7475   0.0515   
Ego_PLP                  LFR_mu_15  0.7490   0.8214   0.6586   0.0478   
Ego_PLP                  LFR_mu_15  0.8005   0.8595   0.7286   0.0484   
Ego_PLP                  LFR_mu_15  0.7593   0.8518   0.7026   0.0479   
Ego_PLP                  LFR_mu_15  0.7694   0.8276   0.6652   0.0526   
Ego_PLP                  LFR_mu_15  0.7072   0.8304   0.6438   0.0482   
Ego_PLP                  LFR_mu_20  0.6075   0.7557   0.5099   0.0529   
Ego_PLP                  LFR_mu_20  0.6693   0.8005   0.5518   0.0478   
Ego_PLP                  LFR_mu_20  0.7312   0.8441   0.6507   0.0505   
Ego_PLP                  LFR_mu_20  0.5919   0.7395   0.5016   0.0495   
Ego_PLP                  LFR_mu_20  0.6726   0.7851   0.5651   0.0520   
Ego_PLP                  LFR_mu_25  0.6172   0.7328   0.4887   0.0510   
Ego_PLP                  LFR_mu_25  0.6503   0.7456   0.5005   0.0493   
Ego_PLP                  LFR_mu_25  0.6322   0.7601   0.5014   0.0446   
Ego_PLP                  LFR_mu_25  0.5981   0.7454   0.4637   0.0467   
Ego_PLP                  LFR_mu_25  0.6785   0.7603   0.5460   0.0482   
Ego_PLP                  LFR_mu_30  0.5482   0.6852   0.3750   0.0487   
Ego_PLP                  LFR_mu_30  0.5480   0.6762   0.3916   0.0493   
Ego_PLP                  LFR_mu_30  0.5322   0.6752   0.3913   0.0504   
Ego_PLP                  LFR_mu_30  0.4711   0.6221   0.2817   0.0588   
Ego_PLP                  LFR_mu_30  0.5696   0.7158   0.4364   0.0504   
Ego_PLP                  LFR_mu_35  0.4901   0.6054   0.2800   0.0573   
Ego_PLP                  LFR_mu_35  0.4430   0.5918   0.2419   0.0487   
Ego_PLP                  LFR_mu_35  0.4648   0.6108   0.2650   0.0506   
Ego_PLP                  LFR_mu_35  0.4574   0.5661   0.2360   0.0475   
Ego_PLP                  LFR_mu_35  0.4861   0.6190   0.2810   0.0559   
Ego_PLP                  LFR_mu_40  0.4441   0.5498   0.2146   0.0451   
Ego_PLP                  LFR_mu_40  0.4346   0.5635   0.2301   0.0489   
Ego_PLP                  LFR_mu_40  0.4059   0.5444   0.1758   0.0513   
Ego_PLP                  LFR_mu_40  0.3591   0.5080   0.1310   0.0428   
Ego_PLP                  LFR_mu_40  0.3988   0.5641   0.1992   0.0479   
Ego_PLP                  LFR_mu_45  0.3630   0.4878   0.1008   0.0484   
Ego_PLP                  LFR_mu_45  0.3762   0.5162   0.1500   0.0492   
Ego_PLP                  LFR_mu_45  0.3272   0.4577   0.1028   0.0474   
Ego_PLP                  LFR_mu_45  0.3882   0.5166   0.1293   0.0476   
Ego_PLP                  LFR_mu_45  0.4170   0.5374   0.1667   0.0482   
Ego_PLP                  LFR_mu_50  0.3847   0.4797   0.1174   0.0488   
Ego_PLP                  LFR_mu_50  0.3259   0.4290   0.0739   0.0517   
Ego_PLP                  LFR_mu_50  0.3253   0.4286   0.0865   0.0446   
Ego_PLP                  LFR_mu_50  0.3881   0.4956   0.1232   0.0534   
Ego_PLP                  LFR_mu_50  0.3691   0.4709   0.1204   0.0502   
Ego_PLP                  LFR_mu_55  0.3130   0.4026   0.0629   0.0463   
Ego_PLP                  LFR_mu_55  0.2860   0.3740   0.0472   0.0449   
Ego_PLP                  LFR_mu_55  0.3328   0.4181   0.0813   0.0468   
Ego_PLP                  LFR_mu_55  0.3110   0.4135   0.0517   0.0517   
Ego_PLP                  LFR_mu_55  0.2709   0.3265   0.0287   0.0458   
Ego_PLP_clean_OSLOM      LFR_om_1   1.0000   1.0000   1.0000   3.8377   
Ego_PLP_clean_OSLOM      LFR_om_1   0.9566   0.9627   0.9231   3.2528   
Ego_PLP_clean_OSLOM      LFR_om_1   1.0000   1.0000   1.0000   3.4563   
Ego_PLP_clean_OSLOM      LFR_om_1   0.9707   0.9909   0.9691   3.3449   
Ego_PLP_clean_OSLOM      LFR_om_1   1.0000   1.0000   1.0000   3.6103   
Ego_PLP_clean_OSLOM      LFR_om_2   0.9470   0.9470   0.8558   6.8188   
Ego_PLP_clean_OSLOM      LFR_om_2   0.9630   0.9630   0.8873   6.4347   
Ego_PLP_clean_OSLOM      LFR_om_2   0.9538   0.9538   0.8678   6.8439   
Ego_PLP_clean_OSLOM      LFR_om_2   0.9619   0.9619   0.8853   6.6187   
Ego_PLP_clean_OSLOM      LFR_om_2   0.9622   0.9622   0.8861   6.4865   
Ego_PLP_clean_OSLOM      LFR_om_3   0.0296   0.0266   0.0000   0.5058   
Ego_PLP_clean_OSLOM      LFR_om_3   0.0295   0.0266   0.0000   0.5487   
Ego_PLP_clean_OSLOM      LFR_om_3   0.0284   0.0258   0.0000   0.4989   
